name,make,model,year,price,cylinders,transmission,trim,body,drivetrain
2024 Kia Seltos EX,Kia,Seltos,2024,29640.0,4.0,Automatic CVT,EX,SUV,All-wheel Drive
2024 Chevrolet Blazer 3LT,Chevrolet,Blazer,2024,43727.0,6.0,9-Speed Automatic,3LT,SUV,All-wheel Drive
2024 GMC Terrain SLE,GMC,Terrain,2024,35870.0,4.0,Automatic,SLE,SUV,All-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,64670.0,6.0,Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Jeep Wrangler Sport S,Jeep,Wrangler,2024,46973.0,4.0,Automatic,Sport S,SUV,Four-wheel Drive
2024 Jeep Grand Cherokee 4xe Trailhawk,Jeep,Grand Cherokee 4xe,2024,54905.0,4.0,8-Speed Automatic,Trailhawk,SUV,Four-wheel Drive
2024 Mazda CX-90 PHEV Preferred,Mazda,CX-90 PHEV,2024,50915.0,4.0,8-Speed Automatic,Preferred,SUV,All-wheel Drive
2024 Acura MDX Advance,Acura,MDX,2024,65595.0,6.0,10-Speed Automatic,Advance,SUV,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Subaru Outback Wilderness,Subaru,Outback,2024,44354.0,4.0,Automatic CVT,Wilderness,SUV,All-wheel Drive
2024 Volkswagen Atlas Cross Sport 2.0T SEL,Volkswagen,Atlas Cross Sport,2024,51721.0,4.0,8-speed automatic,2.0T SEL,SUV,All-wheel Drive
2024 Hyundai IONIQ 5 SE Standard Range,Hyundai,IONIQ 5,2024,44195.0,Electric,1-Speed Automatic,SE Standard Range,SUV,Rear-wheel Drive
2024 Audi Q8 e-tron S line Premium,Audi,Q8 e-tron,2024,86670.0,Electric,Automatic,S line Premium,SUV,All-wheel Drive
2024 Volkswagen Jetta 1.4T S,Volkswagen,Jetta,2024,24348.0,4.0,8-Speed Automatic with Tiptronic,1.4T S,Sedan,Front-wheel Drive
2024 Hyundai Sonata Hybrid Limited,Hyundai,Sonata Hybrid,2024,38870.0,4.0,6-Speed Automatic,Limited,Sedan,Front-wheel Drive
2024 Kia EV9 Light Long Range,Kia,EV9,2024,52388.0,Electric,1-Speed Automatic,Light Long Range,SUV,Rear-wheel Drive
2024 Dodge Durango R/T,Dodge,Durango,2024,58709.0,8.0,8-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Dodge Hornet R/T EAWD,Dodge,Hornet,2024,42855.0,4.0,6-Speed Automatic,R/T EAWD,SUV,All-wheel Drive
2024 Dodge Hornet GT,Dodge,Hornet,2024,34990.0,4.0,9-Speed Automatic,GT,SUV,All-wheel Drive
2024 Kia Sportage Hybrid EX,Kia,Sportage Hybrid,2024,34835.0,4.0,Automatic,EX,SUV,All-wheel Drive
2024 GMC Terrain SLE,GMC,Terrain,2024,35870.0,4.0,Automatic,SLE,SUV,All-wheel Drive
2024 Ford Expedition XLT,Ford,Expedition,2024,69955.0,6.0,10-Speed Automatic,XLT,SUV,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,39581.0,4.0,6-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Volkswagen Atlas 2.0T Peak Edition SE w/Technology,Volkswagen,Atlas,2024,49166.0,4.0,8-Speed Automatic,2.0T Peak Edition SE w/Technology,SUV,All-wheel Drive
2024 Hyundai IONIQ 5 Limited,Hyundai,IONIQ 5,2024,55365.0,Electric,1-Speed Automatic,Limited,SUV,Rear-wheel Drive
2024 Jeep Grand Cherokee L Limited,Jeep,Grand Cherokee L,2024,51360.0,6.0,8-Speed Automatic,Limited,SUV,Rear-wheel Drive
2024 Hyundai Tucson Limited,Hyundai,Tucson,2024,40474.0,4.0,Automatic,Limited,SUV,All-wheel Drive
2024 BMW X7 xDrive40i,BMW,X7,2024,89450.0,6.0,8-Speed Automatic,xDrive40i,SUV,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Toyota Tundra Hybrid Limited,Toyota,Tundra Hybrid,2024,62341.0,6.0,10-Speed Automatic,Limited,Pickup Truck,Four-wheel Drive
2024 Hyundai IONIQ 5 SE,Hyundai,IONIQ 5,2024,42015.0,Electric,1-Speed Automatic,SE,SUV,All-wheel Drive
2024 Nissan Kicks SV,Nissan,Kicks,2024,24500.0,4.0,CVT,SV,SUV,Front-wheel Drive
2024 Buick Envista Preferred,Buick,Envista,2024,27075.0,3.0,6-Speed Automatic,Preferred,SUV,Front-wheel Drive
2024 Acura MDX Base,Acura,MDX,2024,51645.0,6.0,10-Speed Automatic,Base,SUV,Front-wheel Drive
2024 Nissan Rogue SV,Nissan,Rogue,2024,35975.0,3.0,Automatic,SV,SUV,All-wheel Drive
2024 Jeep Wagoneer Base,Jeep,Wagoneer,2024,63057.0,6.0,8-Speed Automatic,Base,SUV,Four-wheel Drive
2024 Nissan Rogue SV,Nissan,Rogue,2024,36405.0,3.0,Automatic,SV,SUV,All-wheel Drive
2024 Jeep Wagoneer L Series II Carbide 4x4,Jeep,Wagoneer L,2024,86137.0,6.0,Automatic,Series II Carbide 4x4,SUV,Four-wheel Drive
2024 Kia Sportage S,Kia,Sportage,2024,27969.0,4.0,8-Speed Automatic,S,SUV,Front-wheel Drive
2024 Acura MDX Base,Acura,MDX,2024,51645.0,6.0,10-Speed Automatic,Base,SUV,Front-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,63223.0,6.0,Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Nissan Murano Platinum,Nissan,Murano,2024,46000.0,6.0,Automatic CVT,Platinum,SUV,All-wheel Drive
2024 GMC Yukon XL Denali,GMC,Yukon XL,2024,96410.0,8.0,Automatic,Denali,SUV,Four-wheel Drive
2024 Nissan Rogue SL,Nissan,Rogue,2024,41180.0,3.0,Automatic,SL,SUV,All-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,44720.0,4.0,6-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Jeep Grand Cherokee L Limited,Jeep,Grand Cherokee L,2024,49390.0,6.0,8-Speed Automatic,Limited,SUV,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Mercedes-Benz EQE 350+ Base,Mercedes-Benz,EQE 350+,2024,76535.0,Electric,1-Speed Automatic,Base,Sedan,Rear-wheel Drive
2024 Buick Envista Avenir,Buick,Envista,2024,31805.0,3.0,6-Speed Automatic,Avenir,SUV,Front-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,44160.0,6.0,8-Speed Automatic,GT,SUV,Rear-wheel Drive
2024 Hyundai Sonata SEL,Hyundai,Sonata,2024,28469.0,4.0,8-Speed Automatic,SEL,Sedan,All-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,58930.0,6.0,6-Speed Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 GMC Terrain SLT,GMC,Terrain,2024,35236.0,4.0,9-Speed Automatic,SLT,SUV,All-wheel Drive
2024 Jeep Wagoneer Base,Jeep,Wagoneer,2024,60555.0,6.0,8-Speed Automatic,Base,SUV,Rear-wheel Drive
2024 Ford Ranger XL,Ford,Ranger,2024,38740.0,4.0,10-Speed Automatic,XL,Pickup Truck,Four-wheel Drive
2024 Audi SQ5 Premium Plus,Audi,SQ5,2024,0.0,6.0,Automatic,Premium Plus,SUV,All-wheel Drive
2024 RAM 3500 Tradesman Crew Cab 4x4 8' Box,RAM,3500,2024,66334.0,6.0,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Pickup Truck,Four-wheel Drive
2024 Audi Q5 e 55 Premium Plus,Audi,Q5 e,2024,73020.0,4.0,7-Speed Automatic S tronic,55 Premium Plus,SUV,All-wheel Drive
2024 RAM 3500 Laramie,RAM,3500,2024,89555.0,6.0,Automatic,Laramie,Pickup Truck,Four-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,65315.0,6.0,6-Speed Automatic,Tradesman,Pickup Truck,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,Mazda,CX-90 PHEV,2024,58599.0,4.0,Automatic,Premium Plus,SUV,All-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,47234.0,4.0,6-Speed Automatic,R/T Plus,SUV,All-wheel Drive
2024 Chevrolet Silverado 1500 Custom,Chevrolet,Silverado 1500,2024,44161.0,4.0,8-Speed Automatic,Custom,Pickup Truck,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,2024,49496.0,8.0,Automatic,LT,Pickup Truck,Four-wheel Drive
2024 Chevrolet Silverado 1500 WT,Chevrolet,Silverado 1500,2024,43475.0,4.0,Automatic,WT,Pickup Truck,Four-wheel Drive
2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,2024,54559.0,8.0,Automatic,RST,Pickup Truck,Four-wheel Drive
2024 Mercedes-Benz Sprinter 2500 Standard Roof,Mercedes-Benz,Sprinter 2500,2024,60061.0,4.0,9-Speed Automatic,Standard Roof,Cargo Van,Rear-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28867.0,4.0,Automatic,Latitude,SUV,Four-wheel Drive
2024 Honda CR-V Hybrid Sport Touring,Honda,CR-V Hybrid,2024,42005.0,4.0,Automatic CVT,Sport Touring,SUV,All-wheel Drive
2024 Hyundai IONIQ 6 SEL,Hyundai,IONIQ 6,2024,45005.0,Electric,Automatic,SEL,Sedan,Rear-wheel Drive
2024 Hyundai Tucson Hybrid SEL Convenience,Hyundai,Tucson Hybrid,2024,35864.0,4.0,6-Speed Automatic,SEL Convenience,SUV,All-wheel Drive
2024 Kia Sportage X-Line,Kia,Sportage,2024,34000.0,4.0,8-Speed Automatic,X-Line,SUV,All-wheel Drive
2024 Jeep Compass Sport,Jeep,Compass,2024,29342.0,4.0,Automatic,Sport,SUV,Four-wheel Drive
2024 Ford Transit-150 Base,Ford,Transit-150,2024,55645.0,6.0,10-Speed Automatic,Base,Cargo Van,All-wheel Drive
2024 Audi Q8 e-tron Premium,Audi,Q8 e-tron,2024,83630.0,Electric,Automatic,Premium,SUV,All-wheel Drive
2024 Jeep Wrangler 4-Door Sahara 4x4,Jeep,Wrangler,2024,59456.0,6.0,Automatic,4-Door Sahara 4x4,SUV,Four-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,39714.0,6.0,Automatic,Laredo,SUV,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,2024,49628.0,8.0,Automatic,LT,Pickup Truck,Four-wheel Drive
2024 Hyundai Tucson Hybrid Blue,Hyundai,Tucson Hybrid,2024,33089.0,4.0,6-Speed Automatic,Blue,SUV,All-wheel Drive
2024 Mercedes-Benz EQE 350+ Base,Mercedes-Benz,EQE 350+,2024,79765.0,Electric,1-Speed Automatic,Base,Sedan,Rear-wheel Drive
2024 Jeep Compass Limited,Jeep,Compass,2024,38980.0,4.0,8-Speed Automatic,Limited,SUV,Four-wheel Drive
2024 Hyundai Santa Fe Calligraphy,Hyundai,Santa Fe,2024,49905.0,4.0,Automatic,Calligraphy,SUV,All-wheel Drive
2024 Jeep Grand Cherokee 4xe 4x4,Jeep,Grand Cherokee 4xe,2024,58235.0,4.0,Automatic,4x4,SUV,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,27998.0,4.0,7-Speed DSGA? Automatic w/ 4MO,1.5T SE,SUV,All-wheel Drive
2024 Chevrolet Equinox LS,Chevrolet,Equinox,2024,25515.0,4.0,6-Speed Automatic Electronic with Overdrive,LS,SUV,Front-wheel Drive
2024 Subaru Solterra Premium,Subaru,Solterra,2024,39934.0,Electric,1-Speed Automatic,Premium,SUV,All-wheel Drive
2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,2024,66960.0,4.0,8-Speed Automatic,Rubicon,SUV,Four-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,53395.0,4.0,8-Speed Automatic,Base,SUV,All-wheel Drive
2024 Hyundai IONIQ 5 Disney100 Platinum Edition,Hyundai,IONIQ 5,2024,61775.0,Electric,Automatic,Disney100 Platinum Edition,SUV,All-wheel Drive
2024 RAM ProMaster 2500 High Roof,RAM,ProMaster 2500,2024,53272.0,6.0,9-Speed Automatic,High Roof,Cargo Van,Front-wheel Drive
2024 Lincoln Corsair Reserve,Lincoln,Corsair,2024,51361.0,4.0,8-Speed Automatic,Reserve,SUV,All-wheel Drive
2024 GMC Savana 2500 Work Van,GMC,Savana 2500,2024,44595.0,6.0,Automatic,Work Van,Cargo Van,Rear-wheel Drive
2024 Chrysler Pacifica Hybrid Select,Chrysler,Pacifica Hybrid,2024,60600.0,6.0,Automatic CVT,Select,Passenger Van,Front-wheel Drive
2024 Dodge Hornet GT,Dodge,Hornet,2024,38575.0,4.0,9-Speed Automatic,GT,SUV,All-wheel Drive
2024 Acura ZDX A-SPEC,Acura,ZDX,2024,69850.0,0.0,Automatic,A-SPEC,SUV,All-wheel Drive
2024 Nissan Altima 2.5 SV,Nissan,Altima,2024,31225.0,4.0,Automatic CVT,2.5 SV,Sedan,Front-wheel Drive
2024 Hyundai Sonata Hybrid SEL,Hyundai,Sonata Hybrid,2024,32520.0,4.0,6-Speed Automatic,SEL,Sedan,Front-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,60200.0,4.0,Automatic,Base,SUV,All-wheel Drive
2024 Mercedes-Benz EQS 450 Base 4MATIC,Mercedes-Benz,EQS 450,2024,113030.0,Electric,Automatic,Base 4MATIC,Sedan,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,36532.0,4.0,9-Speed 948TE Automatic,GT AWD,SUV,All-wheel Drive
2024 Jeep Grand Cherokee 4xe Anniversary Edition,Jeep,Grand Cherokee 4xe,2024,61506.0,4.0,Automatic,Anniversary Edition,SUV,Four-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,59625.0,4.0,8-Speed Automatic,Base,SUV,All-wheel Drive
2024 Mercedes-Benz EQS 450 Base 4MATIC,Mercedes-Benz,EQS 450,2024,109545.0,Electric,1-Speed Automatic,Base 4MATIC,SUV,All-wheel Drive
2024 Dodge Hornet Hornet Gt Awd,Dodge,Hornet,2024,35480.0,4.0,Automatic,Hornet Gt Awd,SUV,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,31200.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Jeep Wrangler 4xe Sport S,Jeep,Wrangler 4xe,2024,54835.0,4.0,8-Speed A/T,Sport S,SUV,Four-wheel Drive
2024 Jeep Grand Cherokee Limited,Jeep,Grand Cherokee,2024,52115.0,6.0,8-Speed Automatic,Limited,SUV,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,32011.0,4.0,8-speed automatic,1.5T SE,SUV,Front-wheel Drive
2024 RAM ProMaster 3500 High Roof,RAM,ProMaster 3500,2024,53099.0,6.0,9-Speed Automatic,High Roof,Cargo Van,Front-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,30383.0,4.0,8-Speed Automatic,1.5T SE,SUV,Front-wheel Drive
2024 Cadillac XT5 Luxury,Cadillac,XT5,2024,46890.0,4.0,9-Speed Automatic,Luxury,SUV,Front-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,37729.0,6.0,Automatic,Laredo,SUV,Four-wheel Drive
2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,2024,53535.0,4.0,8-Speed Automatic,Sport,SUV,Four-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,44600.0,4.0,6-Speed Automatic,R/T Plus,SUV,All-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,45038.0,6.0,8-Speed Automatic,GT,SUV,All-wheel Drive
2024 Acura MDX Technology,Acura,MDX,2024,56155.0,6.0,10-Speed Automatic,Technology,SUV,All-wheel Drive
2024 Jeep Wrangler Rubicon,Jeep,Wrangler,2024,60972.0,6.0,Automatic,Rubicon,SUV,Four-wheel Drive
2024 Dodge Hornet R/T EAWD,Dodge,Hornet,2024,41497.0,4.0,6-Speed Automatic,R/T EAWD,SUV,All-wheel Drive
2024 Volkswagen Taos 1.5T S,Volkswagen,Taos,2024,25311.0,4.0,7-Speed DSGA? Automatic w/ 4MO,1.5T S,SUV,All-wheel Drive
2024 INFINITI QX50 LUXE,INFINITI,QX50,2024,48350.0,4.0,Variable,LUXE,SUV,Front-wheel Drive
2024 Nissan Versa 1.6 SV,Nissan,Versa,2024,21000.0,4.0,Automatic CVT,1.6 SV,Sedan,Front-wheel Drive
2024 GMC Savana 2500 Work Van,GMC,Savana 2500,2024,44620.0,6.0,Automatic,Work Van,Cargo Van,Rear-wheel Drive
2024 Mercedes-Benz AMG GLE 53 Base,Mercedes-Benz,AMG GLE 53,2024,90995.0,6.0,9-Speed Automatic,Base,SUV,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,56079.0,4.0,8-Speed Automatic,Premium,SUV,All-wheel Drive
2024 Ford F-350 XL,Ford,F-350,2024,52263.0,8.0,10-Speed Automatic,XL,Pickup Truck,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,42991.0,4.0,6-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Jeep Grand Cherokee 4xe Trailhawk,Jeep,Grand Cherokee 4xe,2024,54910.0,4.0,8-Speed Automatic,Trailhawk,SUV,Four-wheel Drive
2024 Audi A5 Sportback S line Premium Plus,Audi,A5 Sportback,2024,56105.0,4.0,7-Speed Automatic with Auto-Shift,S line Premium Plus,Hatchback,All-wheel Drive
2024 Lincoln Nautilus Reserve,Lincoln,Nautilus,2024,64370.0,4.0,8-Speed Automatic,Reserve,SUV,All-wheel Drive
2024 Chevrolet Trailblazer RS,Chevrolet,Trailblazer,2024,32580.0,3.0,9-Speed Automatic,RS,SUV,All-wheel Drive
2024 BMW i4 Gran Coupe eDrive40,BMW,i4 Gran Coupe,2024,69685.0,Electric,1-Speed Automatic,eDrive40,Hatchback,Rear-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,34330.0,4.0,8-Speed Automatic,2.5L SEL,Pickup Truck,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,37430.0,4.0,9-Speed A/T,GT AWD,SUV,All-wheel Drive
2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,2024,42015.0,4.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,All-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,32925.0,4.0,8-Speed Automatic,2.5L SEL,Pickup Truck,All-wheel Drive
2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,2024,57870.0,4.0,8-Speed Automatic,Sahara,SUV,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28265.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,30618.0,4.0,7-Speed DSGA? Automatic w/ 4MO,1.5T SE,SUV,All-wheel Drive
2024 Ford Escape Active,Ford,Escape,2024,31985.0,3.0,8-Speed Automatic,Active,SUV,Front-wheel Drive
2024 Ford Bronco Sport Outer Banks,Ford,Bronco Sport,2024,35210.0,3.0,8-Speed Automatic,Outer Banks,SUV,Four-wheel Drive
2024 Hyundai Santa Fe XRT,Hyundai,Santa Fe,2024,42455.0,4.0,Automatic,XRT,SUV,All-wheel Drive
2024 Hyundai IONIQ 5 SEL,Hyundai,IONIQ 5,2024,49795.0,Electric,1-Speed Automatic,SEL,SUV,Rear-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,31721.0,4.0,8-Speed Automatic,Latitude,SUV,Four-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,44852.0,6.0,8-Speed Automatic,GT,SUV,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,32485.0,4.0,9 Spd Automatic,GT AWD,SUV,All-wheel Drive
2024 Jeep Grand Cherokee L Laredo,Jeep,Grand Cherokee L,2024,39370.0,6.0,8-Speed Automatic,Laredo,SUV,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,45844.0,4.0,6-Speed Automatic,R/T,SUV,All-wheel Drive
2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,2024,78543.0,6.0,8-Speed Automatic,Series II,SUV,Four-wheel Drive
2024 Hyundai Elantra HEV Blue,Hyundai,Elantra HEV,2024,27080.0,4.0,Automatic,Blue,Sedan,Front-wheel Drive
2024 RAM 3500 Laramie Crew Cab 4x4 8' Box,RAM,3500,2024,83940.0,6.0,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Pickup Truck,Four-wheel Drive
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,Volkswagen,Atlas Cross Sport,2024,48541.0,4.0,8-Speed Automatic,2.0T SEL R-Line,SUV,All-wheel Drive
2024 RAM 3500 Laramie Crew Cab 4x4 8' Box,RAM,3500,2024,81036.0,6.0,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Pickup Truck,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,54949.0,4.0,Automatic,Premium,SUV,All-wheel Drive
2024 RAM 3500 Tradesman/SLT/Laramie/Limited,RAM,3500,2024,67562.0,6.0,Automatic,Tradesman/SLT/Laramie/Limited,Pickup Truck,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,Mazda,CX-90 PHEV,2024,58399.0,4.0,Automatic,Premium Plus,SUV,All-wheel Drive
2024 Lexus RX 500h F SPORT PERFORMANCE,Lexus,RX 500h,2024,73270.0,4.0,6-Speed Automatic,F SPORT PERFORMANCE,SUV,All-wheel Drive
2024 RAM 3500 Laramie Mega Cab 4x4 6'4' Box,RAM,3500,2024,89040.0,6.0,Aisin 6-Speed Automatic,Laramie Mega Cab 4x4 6&#39;4&#39; Box,Pickup Truck,Four-wheel Drive
2024 Hyundai IONIQ 5 SEL,Hyundai,IONIQ 5,2024,52905.0,Electric,1-Speed Automatic,SEL,SUV,All-wheel Drive
2024 Ford Mustang Mach-E Premium,Ford,Mustang Mach-E,2024,46920.0,Electric,1-Speed Automatic,Premium,SUV,All-wheel Drive
